,Date,Time,Open,High,Low,Close,Vol,<VOL2>,<SPREAD>,symbol,time,minute,hour,weekday,week,month,year,day,macd,boll_ub,boll_lb,rsi_30,dx_30,close_30_sma,close_60_sma
0,2021.12.27,00:00:00,1.13023,1.13164,1.13023,1.13157,71,0,18,EURUSD,2021-12-27 00:00:00,0,0,0,52,12,2021,27,-0.000354461968614508,1.1325085045514882,1.1305544954485116,45.514625396600884,10.389986566613818,1.1317933333333334,1.1326216666666666
1,2021.12.27,00:15:00,1.1314,1.13167,1.13042,1.13107,151,0,38,EURUSD,2021-12-27 00:15:00,15,0,0,52,12,2021,27,-0.000335275319696626,1.1324516729939753,1.1305153270060249,42.592928373378,10.309702132781236,1.1317373333333332,1.13259
2,2021.12.27,00:30:00,1.13104,1.1315,1.13094,1.13127,201,0,20,EURUSD,2021-12-27 00:30:00,30,0,0,52,12,2021,27,-0.0003193122827864323,1.132386091736062,1.130506908263938,44.07834229674212,10.232093846743075,1.1316806666666666,1.1325596666666666
3,2021.12.27,00:45:00,1.13138,1.13148,1.13075,1.13114,190,0,35,EURUSD,2021-12-27 00:45:00,45,0,0,52,12,2021,27,-0.00030755284899478306,1.1321911902435857,1.1305678097564142,43.32454816490898,10.208518424377882,1.1316253333333333,1.1325213333333333
4,2021.12.27,01:00:00,1.13099,1.13227,1.13099,1.13227,274,0,7,EURUSD,2021-12-27 01:00:00,0,1,0,52,12,2021,27,-0.00028031513596851444,1.132179677955684,1.1305753220443162,50.878247580160725,9.949551529708483,1.1316133333333334,1.1325048333333334
5,2021.12.27,01:15:00,1.13227,1.13251,1.13217,1.13251,318,0,7,EURUSD,2021-12-27 01:15:00,15,1,0,52,12,2021,27,-0.0002403358285812483,1.1323373845503146,1.1304826154496854,52.275772842117824,9.62767332401647,1.1316253333333333,1.1324906666666665
6,2021.12.27,01:30:00,1.1325,1.13253,1.13223,1.13229,183,0,7,EURUSD,2021-12-27 01:30:00,30,1,0,52,12,2021,27,-0.00019742831559180365,1.1324359804238404,1.1304390195761598,50.90249140293892,9.310369451500232,1.1316446666666666,1.1324731666666668
7,2021.12.27,01:45:00,1.13229,1.13238,1.13224,1.13225,148,0,7,EURUSD,2021-12-27 01:45:00,45,1,0,52,12,2021,27,-0.00015512294036319603,1.132507993121729,1.1305260068782712,50.65221603643304,9.003642374734538,1.1316629999999999,1.1324601666666667
8,2021.12.27,02:00:00,1.13226,1.13236,1.13159,1.1316,251,0,1,EURUSD,2021-12-27 02:00:00,0,2,0,52,12,2021,27,-0.00012542950490469366,1.1324987808078535,1.1306062191921469,46.78529699516672,8.922374664686382,1.1316366666666666,1.1324385
9,2021.12.27,02:15:00,1.13162,1.13213,1.1316,1.13208,186,0,0,EURUSD,2021-12-27 02:15:00,15,2,0,52,12,2021,27,-9.725356904147449e-05,1.1325547301042969,1.1306402698957032,49.71775898851733,8.843815878306497,1.131635333333333,1.1324250000000002
10,2021.12.27,02:30:00,1.13208,1.1322,1.1319,1.13194,148,0,0,EURUSD,2021-12-27 02:30:00,30,2,0,52,12,2021,27,-7.351775931956533e-05,1.1325871493054525,1.1306738506945475,48.90462753612153,8.741732985572604,1.131635,1.1324068333333335
11,2021.12.27,02:45:00,1.13194,1.13199,1.13133,1.13178,464,0,1,EURUSD,2021-12-27 02:45:00,45,2,0,52,12,2021,27,-5.6194349718767045e-05,1.1325931814786885,1.1307308185213114,47.976949969679865,8.821930862438048,1.1316266666666666,1.1323876666666666
12,2021.12.27,03:00:00,1.13176,1.13207,1.13161,1.13202,315,0,0,EURUSD,2021-12-27 03:00:00,0,3,0,52,12,2021,27,-3.9841091922945994e-05,1.1326118802014404,1.1308051197985591,49.464455416915136,8.86951302941777,1.1316270000000002,1.1323718333333332
13,2021.12.27,03:15:00,1.13202,1.1323,1.13186,1.13227,250,0,1,EURUSD,2021-12-27 03:15:00,15,3,0,52,12,2021,27,-2.0873761383504294e-05,1.132667629073932,1.130853370926068,50.97499606055706,8.827768984981551,1.13162,1.1323569999999998
14,2021.12.27,03:30:00,1.13226,1.1323,1.13179,1.13202,413,0,0,EURUSD,2021-12-27 03:30:00,30,3,0,52,12,2021,27,-5.203307964375726e-06,1.1326735278253648,1.1309314721746353,49.4460562790391,8.81045045523276,1.1316103333333334,1.1323386666666666
15,2021.12.27,03:45:00,1.13203,1.13214,1.13176,1.13184,350,0,0,EURUSD,2021-12-27 03:45:00,45,3,0,52,12,2021,27,4.719320204057375e-06,1.132678566736474,1.130961433263526,48.3655554295543,8.803959758462172,1.1316096666666666,1.1323174999999999
